SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020
40,3,6,1,0,Alabama,Alabama,5025437,5032962
50,3,6,1,1,Alabama,Autauga County,58805,58914
50,3,6,1,3,Alabama,Baldwin County,231778,233252
50,3,6,1,5,Alabama,Barbour County,25225,24958
50,3,6,1,7,Alabama,Bibb County,22285,22181
50,3,6,1,9,Alabama,Blount County,59125,59099
50,3,6,1,11,Alabama,Bullock County,10357,10239
50,3,6,1,13,Alabama,Butler County,19044,19022
50,3,6,1,15,Alabama,Calhoun County,116439,116238
50,3,6,1,17,Alabama,Chambers County,34696,34581
50,3,6,1,19,Alabama,Cherokee County,24981,24978
50,3,6,1,21,Alabama,Chilton County,45006,45053
50,3,6,1,23,Alabama,Choctaw County,12667,12623
50,3,6,1,25,Alabama,Clarke County,23086,22982
50,3,6,1,27,Alabama,Clay County,14240,14216
50,3,6,1,29,Alabama,Cleburne County,15052,15062
50,3,6,1,31,Alabama,Coffee County,53467,53571
50,3,6,1,33,Alabama,Colbert County,57231,57306
50,3,6,1,35,Alabama,Conecuh County,11597,11554
50,3,6,1,37,Alabama,Coosa County,10392,10338
50,3,6,1,39,Alabama,Covington County,37564,37508
50,3,6,1,41,Alabama,Crenshaw County,13204,13174
50,3,6,1,43,Alabama,Cullman County,87848,88128
50,3,6,1,45,Alabama,Dale County,49327,49266
50,3,6,1,47,Alabama,Dallas County,38465,38176
50,3,6,1,49,Alabama,DeKalb County,71620,71662
50,3,6,1,51,Alabama,Elmore County,87976,87866
50,3,6,1,53,Alabama,Escambia County,36767,36685
50,3,6,1,55,Alabama,Etowah County,103423,103441
50,3,6,1,57,Alabama,Fayette County,16326,16331
50,3,6,1,59,Alabama,Franklin County,32118,32088
50,3,6,1,61,Alabama,Geneva County,26658,26698
50,3,6,1,63,Alabama,Greene County,7732,7701
50,3,6,1,65,Alabama,Hale County,14785,14768
50,3,6,1,67,Alabama,Henry County,17144,17172
50,3,6,1,69,Alabama,Houston County,107204,107306
50,3,6,1,71,Alabama,Jackson County,52569,52542
50,3,6,1,73,Alabama,Jefferson County,674330,674720
50,3,6,1,75,Alabama,Lamar County,13966,13946
50,3,6,1,77,Alabama,Lauderdale County,93566,94032
50,3,6,1,79,Alabama,Lawrence County,33071,33085
50,3,6,1,81,Alabama,Lee County,174337,174838
50,3,6,1,83,Alabama,Limestone County,103563,104193
50,3,6,1,85,Alabama,Lowndes County,10316,10281
50,3,6,1,87,Alabama,Macon County,19531,19464
50,3,6,1,89,Alabama,Madison County,388158,390515
50,3,6,1,91,Alabama,Marengo County,19321,19266
50,3,6,1,93,Alabama,Marion County,29343,29192
50,3,6,1,95,Alabama,Marshall County,97605,97696
50,3,6,1,97,Alabama,Mobile County,414812,414414
50,3,6,1,99,Alabama,Monroe County,19772,19707
50,3,6,1,101,Alabama,Montgomery County,228953,228345
50,3,6,1,103,Alabama,Morgan County,123439,123321
50,3,6,1,105,Alabama,Perry County,8512,8455
50,3,6,1,107,Alabama,Pickens County,19127,18956
50,3,6,1,109,Alabama,Pike County,33003,32906
50,3,6,1,111,Alabama,Randolph County,21971,22097
50,3,6,1,113,Alabama,Russell County,59170,59251
50,3,6,1,115,Alabama,St. Clair County,91504,91703
50,3,6,1,117,Alabama,Shelby County,223031,223898
50,3,6,1,119,Alabama,Sumter County,12347,12193
50,3,6,1,121,Alabama,Talladega County,82137,81390
50,3,6,1,123,Alabama,Tallapoosa County,41315,41292
50,3,6,1,125,Alabama,Tuscaloosa County,228133,232604
50,3,6,1,127,Alabama,Walker County,65351,65147
50,3,6,1,129,Alabama,Washington County,15391,15334
50,3,6,1,131,Alabama,Wilcox County,10602,10539
50,3,6,1,133,Alabama,Winston County,23557,23503
40,4,9,2,0,Alaska,Alaska,733383,732906
